epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.7037,1.60166,4.29208,1.42703,0.00402,0.04052,0.00622,0.00395,1.42221,4.12393,1.28363,7.854e-05,7.854e-05,7.854e-05
2,38.0338,1.52818,3.23386,1.24366,0.0364,0.29698,0.08622,0.05242,1.44745,3.6695,1.19465,0.000160968,0.000160968,0.000160968
3,46.5411,1.51294,2.40712,1.25519,0.05374,0.47218,0.16353,0.09639,1.51156,3.01229,1.16997,0.000240004,0.000240004,0.000240004
4,53.2968,1.50037,1.92602,1.23948,0.81559,0.22032,0.14717,0.09247,1.52908,2.90557,1.19595,0.000315647,0.000315647,0.000315647
5,62.6898,1.51032,1.81546,1.24298,0.8118,0.18719,0.15538,0.09853,1.5258,2.51806,1.24646,0.000387896,0.000387896,0.000387896
6,71.6008,1.46155,1.69299,1.23628,0.8205,0.22426,0.17427,0.10488,1.49321,2.09836,1.26759,0.000456753,0.000456753,0.000456753
7,79.2368,1.43546,1.59657,1.22769,0.84449,0.22028,0.20611,0.12048,1.49183,1.78099,1.35787,0.000522217,0.000522217,0.000522217
8,90.3421,1.43709,1.50219,1.2458,0.75074,0.27723,0.23726,0.13973,1.4431,1.65241,1.32606,0.000584288,0.000584288,0.000584288
9,97.9806,1.38595,1.41589,1.16937,0.74156,0.30493,0.27191,0.15381,1.45572,1.44397,1.31196,0.000600902,0.000600902,0.000600902
10,106.697,1.35931,1.31998,1.15987,0.7622,0.29864,0.28074,0.16284,1.43901,1.3972,1.30147,0.000586765,0.000586765,0.000586765
11,115.603,1.36019,1.30297,1.17164,0.77781,0.28792,0.2797,0.16181,1.41963,1.36396,1.26437,0.000572628,0.000572628,0.000572628
12,123.544,1.35344,1.25184,1.17932,0.78419,0.27921,0.28972,0.17054,1.42493,1.26974,1.23973,0.000558491,0.000558491,0.000558491
13,132.766,1.35238,1.24679,1.1553,0.59085,0.41406,0.31814,0.18012,1.44174,1.38877,1.25327,0.000544354,0.000544354,0.000544354
14,139.866,1.35017,1.21544,1.14923,0.62605,0.39702,0.34396,0.19892,1.43319,1.27302,1.25056,0.000530216,0.000530216,0.000530216
15,149.162,1.34081,1.1718,1.16168,0.66978,0.37209,0.36876,0.21397,1.45293,1.26141,1.25347,0.000516079,0.000516079,0.000516079
16,156.594,1.31275,1.11058,1.12855,0.70351,0.37695,0.38226,0.21897,1.41678,1.32857,1.22022,0.000501942,0.000501942,0.000501942
17,165.721,1.31216,1.1066,1.13406,0.70093,0.43019,0.40743,0.2367,1.44052,1.17046,1.22693,0.000487805,0.000487805,0.000487805
18,173.94,1.2886,1.0607,1.12974,0.69098,0.45713,0.42353,0.24081,1.4072,1.17439,1.19561,0.000473668,0.000473668,0.000473668
19,182.197,1.30485,1.07518,1.13044,0.69554,0.4679,0.43398,0.24589,1.44727,1.11229,1.21236,0.00045953,0.00045953,0.00045953
20,191.513,1.29426,1.04383,1.12959,0.71713,0.46192,0.42213,0.24021,1.41036,1.11747,1.22032,0.000445393,0.000445393,0.000445393
21,198.478,1.26569,1.02409,1.13622,0.6629,0.46666,0.3974,0.22985,1.44684,1.2539,1.22138,0.000431256,0.000431256,0.000431256
22,207.792,1.28953,1.01805,1.12949,0.69362,0.46926,0.42952,0.24906,1.41744,1.14582,1.20405,0.000417119,0.000417119,0.000417119
23,215.81,1.25604,1.00895,1.11232,0.69756,0.48051,0.45445,0.25801,1.43533,1.11116,1.23575,0.000402982,0.000402982,0.000402982
24,223.829,1.26053,0.98085,1.10399,0.76614,0.43679,0.4622,0.25837,1.42968,1.14953,1.23412,0.000388844,0.000388844,0.000388844
25,232.54,1.28204,0.98533,1.10012,0.73733,0.45659,0.47004,0.26821,1.43148,1.17494,1.23541,0.000374707,0.000374707,0.000374707
26,239.644,1.21919,0.9171,1.0928,0.56715,0.46859,0.45672,0.26533,1.3978,1.11535,1.22909,0.00036057,0.00036057,0.00036057
